YEAR,MO,DY,T2M_MIN,T2M_MAX,T2M,PRECTOTCORR
1981,1,1,15.36,28.92,21.8,0.0
1981,1,2,16.84,29.72,23.06,1.31
1981,1,3,19.18,28.08,23.2,4.18
1981,1,4,19.34,29.17,23.89,4.3
1981,1,5,20.22,26.82,23.47,5.27
1981,1,6,19.7,28.53,23.84,7.27
1981,1,7,19.95,28.95,23.98,13.28
1981,1,8,19.91,27.33,22.98,11.05
1981,1,9,20.1,27.01,23.04,11.05
1981,1,10,18.96,28.69,23.24,10.15
1981,1,11,19.14,26.81,23.06,24.37
1981,1,12,19.65,26.52,22.84,18.57
1981,1,13,19.72,25.04,22.17,11.22
1981,1,14,19.98,26.26,22.8,27.04
1981,1,15,20.47,27.61,23.56,25.31
1981,1,16,18.94,29.44,23.78,2.82
1981,1,17,19.08,28.37,23.55,1.59
1981,1,18,20.26,29.16,24.66,2.85
1981,1,19,21.31,27.84,24.48,7.17
1981,1,20,20.31,27.35,23.55,19.61
1981,1,21,19.14,27.17,22.79,23.16
1981,1,22,18.52,26.79,21.96,8.25
1981,1,23,16.02,28.61,22.14,2.64
1981,1,24,19.1,28.18,23.44,14.16
1981,1,25,19.03,29.16,23.86,8.65
1981,1,26,19.82,26.57,22.5,5.34
1981,1,27,18.58,28.09,23.27,2.11
1981,1,28,18.49,28.75,23.56,1.48
1981,1,29,18.57,28.52,23.48,0.15
1981,1,30,18.65,28.55,24.17,0.68
1981,1,31,18.85,28.5,23.59,0.26
1981,2,1,18.46,28.88,23.85,0.94
1981,2,2,18.43,29.92,24.2,1.75
1981,2,3,19.62,30.87,25.56,2.17
1981,2,4,20.04,30.49,25.37,4.51
1981,2,5,20.12,29.61,24.66,3.53
1981,2,6,19.53,28.54,23.67,2.35
1981,2,7,19.81,27.23,23.02,1.61
1981,2,8,19.0,26.19,22.66,4.59
1981,2,9,18.98,28.72,23.78,4.98
1981,2,10,19.22,28.68,23.75,6.09
1981,2,11,18.39,27.9,23.18,6.04
1981,2,12,19.78,28.53,23.9,1.32
1981,2,13,18.88,28.88,23.83,0.44
1981,2,14,19.45,29.5,24.63,2.95
1981,2,15,19.17,29.82,24.55,0.16
1981,2,16,18.38,29.74,24.48,0.06
1981,2,17,19.01,29.78,24.58,0.02
1981,2,18,18.99,29.1,23.88,0.52
1981,2,19,18.76,28.85,23.61,12.36
1981,2,20,18.02,28.35,22.82,11.04
1981,2,21,18.52,27.94,22.93,2.34
1981,2,22,18.33,28.52,23.09,1.28
1981,2,23,17.82,28.95,22.86,0.74
1981,2,24,18.17,28.03,22.86,1.31
1981,2,25,17.85,27.61,22.49,2.81
1981,2,26,18.99,28.01,23.29,0.93
1981,2,27,17.16,28.89,23.09,0.33
1981,2,28,16.77,29.87,23.33,0.1
1981,3,1,18.5,28.88,23.5,0.0
1981,3,2,18.04,29.15,23.42,0.43
1981,3,3,18.16,30.15,24.55,1.13
1981,3,4,18.42,28.63,23.43,4.2
1981,3,5,18.19,29.48,22.87,3.7
1981,3,6,18.11,29.73,23.55,6.93
1981,3,7,19.65,28.16,23.38,6.93
1981,3,8,18.11,29.5,23.46,11.98
1981,3,9,19.24,28.61,23.9,2.52
1981,3,10,19.15,28.91,23.82,0.37
1981,3,11,18.78,28.51,23.73,1.89
1981,3,12,17.55,29.38,23.86,0.03
1981,3,13,16.11,29.31,23.23,0.01
1981,3,14,17.41,30.22,23.6,1.28
1981,3,15,18.65,31.27,25.05,2.91
1981,3,16,20.99,29.95,25.52,20.8
1981,3,17,19.87,29.56,24.21,4.06
1981,3,18,18.95,27.35,22.31,4.29
1981,3,19,17.87,27.61,22.16,0.21
1981,3,20,16.39,28.59,21.89,0.01
1981,3,21,17.08,28.91,22.21,0.25
1981,3,22,16.79,28.61,21.85,0.01
1981,3,23,15.51,28.47,21.02,0.01
1981,3,24,14.62,28.6,20.87,0.07
1981,3,25,15.74,29.07,21.79,1.48
1981,3,26,17.8,29.93,22.95,0.37
1981,3,27,18.45,27.01,22.1,2.1
1981,3,28,18.9,26.96,22.26,7.28
1981,3,29,16.87,25.53,21.06,17.35
1981,3,30,18.39,28.51,22.88,2.16
1981,3,31,16.64,27.87,22.26,0.08
1981,4,1,16.36,27.27,21.3,0.17
1981,4,2,15.57,27.56,20.82,0.07
1981,4,3,15.67,28.01,21.43,0.12
1981,4,4,15.41,28.55,21.96,1.85
1981,4,5,16.61,29.51,23.26,2.81
1981,4,6,16.23,29.12,21.78,0.39
1981,4,7,15.76,29.1,21.72,0.08
1981,4,8,15.43,29.18,21.38,0.01
1981,4,9,15.3,28.43,20.75,0.0
1981,4,10,14.93,27.8,20.29,0.01
1981,4,11,14.28,27.57,19.96,0.0
1981,4,12,14.82,28.47,20.55,0.0
1981,4,13,15.24,29.23,21.29,0.02
1981,4,14,15.73,28.67,21.3,1.8
1981,4,15,17.61,28.32,21.5,9.95
1981,4,16,16.75,25.52,20.43,13.77
1981,4,17,15.24,24.15,19.07,0.13
1981,4,18,13.03,23.0,16.93,0.04
1981,4,19,10.84,24.12,16.69,0.01
1981,4,20,10.26,25.57,17.6,0.01
1981,4,21,11.59,26.97,19.08,0.0
1981,4,22,12.22,26.92,19.4,0.43
1981,4,23,12.76,28.45,19.97,0.17
1981,4,24,15.0,28.49,21.7,6.32
1981,4,25,16.89,28.5,21.53,3.42
1981,4,26,17.02,29.02,22.5,0.59
1981,4,27,15.43,28.76,21.43,11.56
1981,4,28,15.36,28.11,21.29,3.09
1981,4,29,17.01,26.0,20.53,1.08
1981,4,30,14.63,24.56,18.75,0.3
1981,5,1,12.98,24.67,17.99,0.01
1981,5,2,13.33,27.05,19.67,0.11
1981,5,3,15.61,27.31,21.25,11.07
1981,5,4,14.89,28.03,20.96,0.0
1981,5,5,14.57,28.03,19.97,5.49
1981,5,6,12.32,27.83,19.17,0.05
1981,5,7,13.25,27.31,19.14,0.02
1981,5,8,12.02,27.06,19.0,0.03
1981,5,9,12.78,27.28,19.99,0.02
1981,5,10,13.79,28.1,21.11,0.0
1981,5,11,15.2,27.7,21.35,0.0
1981,5,12,13.54,28.06,20.69,0.0
1981,5,13,13.63,27.79,20.85,0.0
1981,5,14,12.85,28.09,19.76,0.0
1981,5,15,13.67,27.05,19.43,0.0
1981,5,16,13.74,26.12,19.33,0.03
1981,5,17,15.47,27.04,20.11,0.03
1981,5,18,15.27,27.43,20.49,0.58
1981,5,19,14.1,27.94,20.39,1.09
1981,5,20,14.21,27.94,20.48,0.34
1981,5,21,16.46,26.62,20.53,1.08
1981,5,22,13.87,26.91,19.51,0.08
1981,5,23,13.73,25.57,18.71,0.26
1981,5,24,11.7,26.45,18.51,1.17
1981,5,25,12.45,26.12,19.27,0.0
1981,5,26,13.15,27.14,19.89,0.01
1981,5,27,13.76,26.72,19.31,0.03
1981,5,28,14.18,24.06,18.11,3.29
1981,5,29,12.99,24.67,17.57,0.31
1981,5,30,13.17,25.43,18.06,0.07
1981,5,31,11.79,26.0,18.03,0.0
1981,6,1,11.54,26.73,18.5,0.08
1981,6,2,13.93,25.29,18.88,0.01
1981,6,3,13.12,24.11,17.89,0.0
1981,6,4,13.93,25.3,18.44,0.08
1981,6,5,12.31,25.3,17.88,3.71
1981,6,6,14.56,23.68,18.03,26.47
1981,6,7,14.7,22.22,17.48,23.58
1981,6,8,10.14,20.04,14.18,0.69
1981,6,9,8.34,21.51,13.47,0.08
1981,6,10,6.49,23.18,14.33,0.03
1981,6,11,9.58,23.86,16.23,0.0
1981,6,12,11.29,24.42,17.51,0.02
1981,6,13,12.71,22.06,17.23,0.0
1981,6,14,12.66,25.14,17.77,0.04
1981,6,15,11.28,24.75,17.63,6.56
1981,6,16,13.69,22.4,17.11,18.49
1981,6,17,10.68,20.09,15.34,8.97
1981,6,18,4.81,18.74,10.82,0.14
1981,6,19,4.8,15.97,9.96,0.09
1981,6,20,5.85,22.08,12.78,0.04
1981,6,21,9.29,22.83,14.29,0.02
1981,6,22,10.45,23.7,15.56,0.01
1981,6,23,10.14,23.63,15.73,0.03
1981,6,24,9.32,22.78,15.36,0.0
1981,6,25,10.69,20.84,15.2,0.0
1981,6,26,9.47,23.97,16.79,0.01
1981,6,27,9.45,24.28,16.83,0.0
1981,6,28,9.43,24.83,16.55,0.0
1981,6,29,9.96,25.16,16.75,0.0
1981,6,30,9.89,25.65,17.18,0.01
1981,7,1,11.0,25.68,17.41,0.12
1981,7,2,11.93,25.91,18.14,1.23
1981,7,3,9.57,19.85,13.42,0.74
1981,7,4,8.57,19.77,12.78,0.02
1981,7,5,8.66,20.13,13.15,0.01
1981,7,6,7.0,19.99,12.31,0.0
1981,7,7,7.19,20.57,12.5,0.0
1981,7,8,7.23,21.37,12.97,0.01
1981,7,9,7.56,22.48,14.05,0.0
